1965
[2, 3, 4, 6, 12] , 1
[2, 3, 4, 5, 8, 10, 12, 15, 60, 120] , 6
[2, 3, 4, 5, 8, 10, 12, 20, 30, 40] , 6
[2, 3, 4, 5, 8, 10, 12, 20, 30, 120] , 6
[2, 3, 4, 5, 8, 10, 12, 20, 40, 60] , 6
[2, 3, 4, 5, 8, 10, 12, 20, 40, 120] , 6
[2, 3, 4, 5, 8, 10, 12, 20, 60, 120] , 6
[2, 3, 4, 5, 8, 10, 12, 30, 40, 60] , 6
[2, 3, 4, 5, 8, 10, 12, 30, 40, 120] , 6
[2, 3, 4, 5, 8, 10, 12, 30, 60, 120] , 6
[2, 3, 4, 5, 8, 10, 12, 40, 60, 120] , 6
[2, 3, 4, 5, 8, 10, 15, 20, 24, 30] , 6
[2, 3, 4, 5, 8, 10, 15, 20, 24, 40] , 6
[2, 3, 4, 5, 8, 10, 15, 20, 24, 60] , 6
[2, 3, 4, 5, 8, 10, 15, 20, 24, 120] , 6
[2, 3, 4, 5, 8, 10, 15, 20, 30, 40] , 6
[2, 3, 4, 5, 8, 10, 15, 20, 40, 60] , 6
[2, 3, 4, 5, 8, 10, 15, 20, 40, 120] , 6
[2, 3, 4, 5, 8, 10, 15, 24, 30, 40] , 6
[2, 3, 4, 5, 8, 10, 15, 24, 30, 60] , 6
[2, 3, 4, 5, 8, 10, 15, 24, 30, 120] , 6
[2, 3, 4, 5, 8, 10, 15, 24, 40, 60] , 6
[2, 3, 4, 5, 8, 10, 15, 24, 40, 120] , 6
[2, 3, 4, 5, 8, 10, 15, 24, 60, 120] , 6
[2, 3, 4, 5, 8, 10, 20, 24, 30, 40] , 6
[2, 3, 4, 5, 8, 10, 20, 24, 30, 60] , 6
[2, 3, 4, 5, 8, 10, 20, 24, 30, 120] , 6
[2, 3, 4, 5, 8, 10, 20, 24, 40, 60] , 6
[2, 3, 4, 5, 8, 10, 20, 24, 40, 120] , 6
[2, 3, 4, 5, 8, 10, 20, 24, 60, 120] , 6
[2, 3, 4, 5, 8, 10, 20, 30, 40, 60] , 6
[2, 3, 4, 5, 8, 10, 20, 30, 40, 120] , 6
[2, 3, 4, 5, 8, 10, 20, 40, 60, 120] , 6
[2, 3, 4, 5, 8, 10, 24, 30, 40, 60] , 6
[2, 3, 4, 5, 8, 10, 24, 30, 40, 120] , 6
[2, 3, 4, 5, 8, 10, 24, 30, 60, 120] , 6
[2, 3, 4, 5, 8, 10, 24, 40, 60, 120] , 6
[2, 3, 4, 5, 8, 12, 15, 20, 30, 40] , 6
[2, 3, 4, 5, 8, 12, 15, 20, 30, 120] , 6
[2, 3, 4, 5, 8, 12, 15, 20, 40, 60] , 6
[2, 3, 4, 5, 8, 12, 15, 20, 40, 120] , 6
[2, 3, 4, 5, 8, 12, 15, 20, 60, 120] , 6
[2, 3, 4, 5, 8, 12, 15, 30, 40, 60] , 6
[2, 3, 4, 5, 8, 12, 15, 30, 40, 120] , 6
[2, 3, 4, 5, 8, 12, 15, 30, 60, 120] , 6
[2, 3, 4, 5, 8, 12, 15, 40, 60, 120] , 6
[2, 3, 4, 5, 8, 12, 20, 30, 40, 60] , 6
[2, 3, 4, 5, 8, 12, 20, 30, 40, 120] , 6
[2, 3, 4, 5, 8, 12, 20, 30, 60, 120] , 6
[2, 3, 4, 5, 8, 12, 20, 40, 60, 120] , 6
[2, 3, 4, 5, 8, 12, 30, 40, 60, 120] , 6
[2, 3, 4, 5, 8, 15, 20, 24, 30, 40] , 6
[2, 3, 4, 5, 8, 15, 20, 24, 30, 60] , 6
[2, 3, 4, 5, 8, 15, 20, 24, 30, 120] , 6
[2, 3, 4, 5, 8, 15, 20, 24, 40, 60] , 6
